,name,Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
0,"Rodríguez,Julio",2022,21,SEA,AL,132,560,511,84,145,25,3,28,75,25,7,40,145,.284,.345,.509,.853,146,260,7,8,0,1,4,*8/DH,"AS,MVP-7,RoY-1,SS"
1,"Harris,Michael",2022,21,ATL,NL,114,441,414,75,123,27,3,19,64,20,2,21,107,.297,.339,.514,.853,133,213,7,5,1,0,0,*8,"MVP-13,RoY-1"
2,"Arozarena,Randy",2021,26,TBR,AL,141,604,529,94,145,32,3,20,69,20,10,56,170,.274,.356,.459,.815,129,243,9,14,0,5,4,*79D/H8,RoY-1
3,"India,Jonathan",2021,24,CIN,NL,150,631,532,98,143,34,2,21,69,12,3,71,141,.269,.376,.459,.835,116,244,13,23,1,4,1,*4/H,RoY-1
4,"Lewis,Kyle",2020,24,SEA,AL,58,242,206,37,54,3,0,11,28,5,1,34,71,.262,.364,.437,.801,124,90,5,0,0,2,0,*8/DH,"MVP-17,RoY-1"
5,"Alvarez,Yordan",2019,22,HOU,AL,87,369,313,58,98,26,0,27,78,0,0,52,94,.313,.412,.655,1.067,173,205,9,2,0,2,4,D7/H,RoY-1
6,"Alonso,Pete",2019,24,NYM,NL,161,693,597,103,155,30,2,53,120,1,0,72,183,.260,.358,.583,.941,147,348,13,21,0,3,6,*3/HD,"AS,MVP-7,RoY-1"
7,"Ohtani,Shohei",2018,23,LAA,AL,104,367,326,59,93,21,2,22,61,10,4,37,102,.285,.361,.564,.925,151,184,2,2,0,1,2,DH1,RoY-1
8,"Acuña,Ronald",2018,20,ATL,NL,111,487,433,78,127,26,4,26,64,16,5,45,123,.293,.366,.552,.917,143,239,4,6,0,3,2,78/9HD,"MVP-12,RoY-1"
9,"Judge,Aaron",2017,25,NYY,AL,155,678,542,128,154,24,3,52,114,9,4,127,208,.284,.422,.627,1.049,171,340,15,5,0,4,11,*9D/H,"AS,MVP-2,RoY-1,SS"
10,"Bellinger,Cody",2017,21,LAD,NL,132,548,480,87,128,26,4,39,97,10,3,64,146,.267,.352,.581,.933,143,279,5,1,0,3,13,37/98HD,"AS,MVP-9,RoY-1"
11,"Seager,Corey",2016,22,LAD,NL,157,687,627,105,193,40,5,26,72,3,3,54,133,.308,.365,.512,.877,134,321,12,4,0,2,5,*6/H,"AS,MVP-3,RoY-1,SS"
12,"Correa,Carlos",2015,20,HOU,AL,99,432,387,52,108,22,1,22,68,14,4,40,78,.279,.345,.512,.857,135,198,10,1,0,4,2,6,"MVP-24,RoY-1"
13,"Bryant,Kris",2015,23,CHC,NL,151,650,559,87,154,31,5,26,99,13,4,77,199,.275,.369,.488,.858,135,273,7,9,0,5,0,*5/789H3D,"AS,MVP-11,RoY-1"
14,"Abreu,José",2014,27,CHW,AL,145,622,556,80,176,35,2,36,107,3,1,51,131,.317,.383,.581,.964,173,323,14,11,0,4,15,*3D/H,"AS,MVP-4,RoY-1,SS"
15,"Myers,Wil",2013,22,TBR,AL,88,373,335,50,98,23,0,13,53,5,2,33,91,.293,.354,.478,.831,131,160,10,1,0,4,6,9D/8H,RoY-1
16,"Trout,Mike",2012,20,LAA,AL,139,639,559,129,182,27,8,30,83,49,5,67,139,.326,.399,.564,.963,168,315,7,6,0,7,4,*87/9H,"AS,MVP-2,RoY-1,SS"
17,"Harper,Bryce",2012,19,WSN,NL,139,597,533,98,144,26,9,22,59,18,6,56,120,.270,.340,.477,.817,118,254,8,2,3,3,0,*89/7H,"AS,MVP-30,RoY-1"
18,"Posey,Buster",2010,23,SFG,NL,108,443,406,58,124,23,2,18,67,0,2,30,55,.305,.357,.505,.862,133,205,12,4,0,3,5,23/H,"MVP-11,RoY-1"
19,"Coghlan,Chris",2009,24,FLA,NL,128,565,504,84,162,31,6,9,47,8,5,53,77,.321,.390,.460,.850,122,232,3,4,3,1,2,*7/H4,"MVP-28,RoY-1"
20,"Longoria,Evan",2008,22,TBR,AL,122,508,448,67,122,31,2,27,85,7,0,46,122,.272,.343,.531,.874,127,238,8,6,0,8,4,*5/DH6,"AS,MVP-11,RoY-1"
21,"Soto,Geovany",2008,25,CHC,NL,141,563,494,66,141,35,2,23,86,0,1,62,121,.285,.364,.504,.868,119,249,11,2,0,5,6,*2/HD,"AS,MVP-13,RoY-1"
22,"Pedroia,Dustin",2007,23,BOS,AL,139,581,520,86,165,39,1,8,50,7,1,47,42,.317,.380,.442,.823,112,230,8,7,5,2,1,*4/HD,RoY-1
23,"Braun,Ryan",2007,23,MIL,NL,113,492,451,91,146,26,6,34,97,15,5,29,112,.324,.370,.634,1.004,154,286,13,7,0,5,1,*5/H,"MVP-24,RoY-1"
24,"Ramirez,Hanley",2006,22,FLA,NL,158,700,633,119,185,46,11,17,59,51,15,56,128,.292,.353,.480,.833,116,304,7,4,5,2,0,*6/H,RoY-1
25,"Howard,Ryan",2005,25,PHI,NL,88,348,312,52,90,17,2,22,63,0,1,33,100,.288,.356,.567,.924,133,177,6,1,0,2,8,3/H,RoY-1
26,"Crosby,Bobby",2004,24,OAK,AL,151,623,545,70,130,34,1,22,64,7,3,58,141,.239,.319,.426,.744,93,232,20,9,5,6,0,*6,RoY-1
