,name,Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
0,"Rodríguez,Julio",2023,22,SEA,AL,143,662,610,95,174,35,2,30,99,36,10,43,159,.285,.341,.497,.838,132,303,13,9,0,0,5,*8/D,AS
1,"Harris,Michael",2023,22,ATL,NL,127,492,459,72,135,26,3,18,53,20,3,25,93,.294,.334,.481,.815,116,221,7,4,1,3,1,*8/H,
2,"Arozarena,Randy",2022,27,TBR,AL,153,645,586,72,154,41,3,20,89,32,12,46,156,.263,.327,.445,.773,123,261,17,11,0,2,2,*7D9/H,
3,"India,Jonathan",2022,25,CIN,NL,103,431,386,48,96,16,2,10,41,3,4,31,94,.249,.327,.378,.705,94,146,5,14,0,0,1,4D/H,
4,"Lewis,Kyle",2021,25,SEA,AL,36,147,130,15,32,4,0,5,11,2,0,16,37,.246,.333,.392,.726,104,51,1,1,0,0,0,8/D,
5,"Alvarez,Yordan",2020,23,HOU,AL,2,9,8,2,2,0,0,1,4,0,0,0,1,.250,.333,.625,.958,153,5,1,1,0,0,0,/D,
6,"Alonso,Pete",2020,25,NYM,NL,57,239,208,31,48,6,0,16,35,1,0,24,61,.231,.326,.490,.817,122,102,4,6,0,1,4,3D/H,
7,"Ohtani,Shohei",2019,24,LAA,AL,106,425,384,51,110,20,5,18,62,12,3,33,110,.286,.343,.505,.848,121,194,6,2,0,4,1,DH,
8,"Acuña,Ronald",2019,21,ATL,NL,156,715,626,127,175,22,2,41,101,37,9,76,188,.280,.365,.518,.883,121,324,8,9,0,1,4,*879/H,"AS,MVP-5,SS"
9,"Judge,Aaron",2018,26,NYY,AL,112,498,413,77,115,22,0,27,67,6,3,76,152,.278,.392,.528,.919,150,218,10,4,0,5,3,9D/H8,"AS,MVP-12"
10,"Bellinger,Cody",2018,22,LAD,NL,162,632,557,84,145,28,7,25,76,14,1,69,151,.260,.343,.470,.814,120,262,7,3,0,3,9,*38H/97,
11,"Seager,Corey",2017,23,LAD,NL,145,613,539,85,159,33,0,22,77,4,2,67,131,.295,.375,.479,.854,126,258,14,4,0,3,5,*6/HD,"AS,MVP-17,SS"
12,"Correa,Carlos",2016,21,HOU,AL,153,660,577,76,158,36,3,20,96,13,3,75,139,.274,.361,.451,.811,124,260,12,5,0,3,5,*6/H,
13,"Bryant,Kris",2016,24,CHC,NL,155,699,603,121,176,35,3,39,102,8,5,75,154,.292,.385,.554,.939,146,334,3,18,0,3,5,579/38D6,"AS,MVP-1"
14,"Abreu,José",2015,28,CHW,AL,154,668,613,88,178,34,3,30,101,0,0,39,140,.290,.347,.502,.850,135,308,16,15,0,1,11,*3D,MVP-21
15,"Myers,Wil",2014,23,TBR,AL,87,361,325,37,72,14,0,6,35,6,1,34,90,.222,.294,.320,.614,77,104,10,0,0,2,3,9/DH38,
16,"Trout,Mike",2013,21,LAA,AL,157,716,589,109,190,39,9,27,97,33,7,110,136,.323,.432,.557,.988,179,328,8,9,0,8,10,*87/D,"AS,MVP-2,SS"
17,"Harper,Bryce",2013,20,WSN,NL,118,497,424,71,116,24,3,20,58,11,4,61,94,.274,.368,.486,.854,133,206,4,5,3,4,4,*79/8H,AS
18,"Posey,Buster",2011,24,SFG,NL,45,185,162,17,46,5,0,4,21,3,0,18,30,.284,.368,.389,.756,117,63,4,4,0,1,3,2/3H,
19,"Coghlan,Chris",2010,25,FLA,NL,91,400,358,60,96,20,3,5,28,10,3,33,84,.268,.335,.383,.718,91,137,3,4,3,2,1,7/H,
20,"Longoria,Evan",2009,23,TBR,AL,157,671,584,100,164,44,0,33,113,9,0,72,140,.281,.364,.526,.889,133,307,27,8,0,7,11,*5/DH,"AS,MVP-19,GG,SS"
21,"Soto,Geovany",2009,26,CHC,NL,102,389,331,27,72,19,1,11,47,1,0,50,77,.218,.321,.381,.702,80,126,19,3,0,5,3,2/H,
22,"Pedroia,Dustin",2008,24,BOS,AL,157,726,653,118,213,54,2,17,83,20,1,50,52,.326,.376,.493,.869,123,322,17,7,7,9,1,*4/H,"AS,MVP-1,GG,SS"
23,"Braun,Ryan",2008,24,MIL,NL,151,663,611,92,174,39,7,37,106,14,4,42,129,.285,.335,.553,.888,130,338,13,6,0,4,4,*7/HD,"AS,MVP-3,SS"
